documentid,paymentid,amount,date,vendor_name,vendor_address
00d0627737900,00p0429607399,28.90,2017-10-29,SUBANG HEALTHCZRE SDN BHD,"B-8, JALAN SS15/4D, 47500 SUBANG JYA, SELANGOR"
00d0453226524,00p0609332035,191.20,2017-5-14,BENED (SP) SCDN. BHDD.,"NO.49, JALAN DINNAR G U3/G, S UBANG PERDANA, 40150SHHA ALAM, SEOANGOR D.E."
00d0218523505,00p0483119183,24.83,2017-7-25,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALANPELABUR 023/1, 403U0 SHAH ALAM, SELANGOR."
00d0258506946,00p0373031050,142.0,2018-8-4,THE COFFEE BEAN & TEA LEAF () SDN. BHD.,"LOT F36, FIRST FLOOR, AEON MAL BDR DATO' ONN, NO.3 JLN DATO' ONN 3, BDR DATO' ONN81100 JOHOR BAHRU, JOHOR"
00d0717257644,00p0740502978,722.0,2017-1-5,S&YY STATIONERY,"MO. 36G JALAN BULAN BM U5/BM, BANDAR PINGIRAN SUBANG, SEKSYEN U5, 40150 SHAHH ALA, SELANGOR."
00d0316894686,00p0126236824,7.19,2018-9-2,LIM SENG THO HARDWARE TRADING,"NO 7, 8IMPANG OFF VATU VILLAGE, JALAN IPOH BATU 5, 51200 UALA LUMPUR MALAYSIA"
00d0401609886,00p0332022628,34.21,2017-10-22,GARDENIA BAKERISE (KL) SDN BHD,"LOT 3, JALAN PELABUR 33/1, 40300 SHAH ALAM, SELANGOR."
00d0774018859,00p0338190731,4.25,2018-12-1,PRONT EXPERT SDNBHD,"NO 18, 20, 22, JALAN BUNGA TANJONG 3/16, 40000 SHAH ALAM,  SELANGOR"
00d0183401385,00p0778877603,587.8,2018-10-3,WARAKUYA PERMAS CITY SDN BHD,JALAN PERMAS UTARA 1 PERMASS JAYA 81750 MASAI JOHOR
00d0270792056,00p0396596494,25.0,2018-5-20,FRMASI LIGAMAS,"NO. 47, JALAN MERANTI 1A, BANDAR BARU UTAMA, 44300 BATANG KALI, SELANGOR."
00d0497274391,00p0178142255,8.70,2017-6-9,SWANYU STATIONERY SHOP,"NO. 31G&33G, JALAN SETIA INDH X,U13/X 40170 SETIA ALM"
00d0773577731,00p0569716400,53.90,2018-3-16,MR. D. I. Y. (KHCUHAI) DN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERRINDUST RIAN BALAKONG, 4330 SERI KRMBANGAN, SELANGOR"
00d0844818369,00p0738284804,88.0,2018-5-7,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOOR"
00d0390662905,00p0298874640,77.20,2018-12-3,BENS INDEPENDENT GROCER SDN. BHD,"LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR"
00d0271842165,00p0380985762,270.30,2018-12-2,SYARIKAT PERNIAGAAN GIN KEE,"NO 2910, JALAN AIR PNAS, SETAPAK, 5320, KUALA LUMPUR."
00d0601744334,00p0727962579,36.55,2017-9-25,GADRDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0834036599,00p0457825841,12.0,2018-3-27,LIAN HING STATIONERY SDNBHD,"NO.32 & 33, J ALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN"
00d0617357249,00p0815486598,969.90,2018-5-27,AEON CO. (M) BHD,"3RD FLR, AEON TAMAN MALURI SC J LN JEJWKA, TAMAN MALURI CHERAS, 51500 KUALA LUMPUR"
00d0328708236,00p0164478029,248.55,2017-9-27,ASO ELECTRICAL TARDING SDN BHD,"NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS 4040 SHAH ALAM, SELANGIR."
00d0286887687,00p0939582306,47.70,2017-4-12,SYARIKAT PERNIAGAAN GIN KEE,"NO290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR"
00d0776440475,00p0197654311,8.70,2017-10-4,SANYU STATIONER SHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13 /X 40170 SETIA ALAM"
00d0881334709,00p0458467488,4.9,2018-1-18,TO HENG STATIONERY & BOOKS,"NO. 53, JALAN BRESAR, 456000 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
00d0485821436,00p0710003558,278.7,2018-5-1,SUNFISH,22 LRG PEFUSAHAN 4 KMPAL INDS.PARK B.CAVES
00d0570374781,00p0789062046,4.40,2018-12-4,AOEN CO.(M) HD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
00d0967073777,00p0550225072,57.90,2016-1-24,MR. D.I.Y. (KUCHAI) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINNDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0527382713,00p0547259916,93.7,2018-2-1,SYARIKAT PERNIAGAANGIN KEE,"NO 290, ALAN QIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
00d0463604996,00p0107313578,8.770,2018-3-21,UNIHAKKA INTENRATIONAL SDN BHD,"12, JALAN TAMPOI7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRRU,JOHOR"
00d0737981299,00p0209872251,112.50,2016-5-22,MR. D.I.Y. (MM)SDN BHD,"LOT 1951-A & 1851-B, NJALAN KPB 6, KAWSAAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0680000515,00p0158739552,83.5,2018-7-2, GARDENIA BAKEIRES (KI ) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 4000 SHAH ALAM, SELANGOR."
00d0680178711,00p0287016853,2875.90,2018-4-27,RESTORAN SIAMM VILAGE,"NO.8,JALAN PERMAS 10/7, PERMAS JAYA, 81750 JOHOR BAHRU ."
00d0992959314,00p0920137607,28.540,2018-3-221,ERBANG ALAF RESTAURANTS SDN BHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR"
00d0106074517,00p0402988794,5.0,2018-4-30,M. D.I.Y. (M) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN HBALAKONG, 43300 SERI KEMBANGAN, SELANGO"
00d0901837324,00p0519881698,60.30,2018-10-19,INDAH GIFT& HOME DECO,"27, ALAN DERDAP 13, TAMAN JOHHOR JAYA,81100 JOHOR BAHRU, JOHOR."
00d0471591245,00p0470434241,74.90,2018-4-15,PASAR MINI JINSENG,"379, JALAN PERMAS SATU, BANDAR BADU PERMAS JAYA 81750 PLENTONG, JOHOR."
00d0668503128,00p0144308456,41.45,2018-3-25,WATSON'S PERSONAL CARE STORES SDN BHD,"USJSUMMIT, SUBANG (S)"
00d0281320276,00p0651483374,39.82,2017-11-20,LIGHTROOM GALLERRY SDN BD,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA"
00d0307768744,00p0328550583,2.10,2018-4-26,MR. D.I.Y. (M) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAOKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0393260166,00p0554021435,3.80,2017-10-14,AGRDENIA BAKERIES (KL) SDN BHD,"LOT  3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0724729985,00p0274447429,2.56,2016-11-2,GUARDIN HEALTH AND BEEAUTY SDN BHD,"LOT F/L2A.4, LEVEL 2A FIRST WOTRLD PLAZA, FIRST WORLD"
00d0457456115,00p0245081950,30.30,2018-2-14,SWEET FOREST CAFFE,"NO 21, JLN UBNGA KANTAN TAMAN P. RAMLEE SETAPAK 53000 KUALA LUMPUR"
00d0987973134,00p0358311645,31.60,2018-5-21,FTOF NOO DLE HOUSE,"NO.25, JALAN METRO PERDANABARAT 2, TAMAN USAHAWAN KEPOBG, KEPON G UTARA, 52100 KUALA LUMPUR."
00d0394257241,00p0705181921,53.975,2018-212-3,THFEE STOGES,"109, SS21/1A, DAMANSARA UTAMA"
00d0864219792,00p0901498238,3.0,2017-4-30,AMANO MALAYSIA SDN BHD,12 JALAN PENGACARA U1/48 TEMASYA INDUSTRIAL ARK 40150 SHAH ALAM SELANGO R
00d0474678678,00p0422342187,38.37,2018-5-19,GUARDIAN HEALTH AND BEAUTY SDN BHD,JALAN LOKE YEW BENTONG 90 GROUND FLOOR JALAN BENTTOGN
00d0396141876,00p0313429065,39.0,2018-10-3,ENW HARDWARE CENTEE (M) SDN BHD,"NO: G3, BLK G, JIN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN."
00d0778866561,00p0364948073,9.30,2017-11-18,XANYU STATIONERY SHOP,"NO. 31G&33G, JAL AN SETIA INDAH X ,U1/X 40170 SETIA ALAM"
00d0708763656,00p0162188711,42.90,2018-2-17,RJ. D.I.Y. (M) 5DN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 4330 SERI KEMBANGAN, SELANGOR"
00d0510871247,00p0985778261,29.59,2017-3-9,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SEANTGOR."
00d0828214133,00p0777159026,47.20,2018-1-24,SYARIKAT PERNIAGAAN GIN KE,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
00d0339705365,00p0118733917,18.80,2017-5-30,VIVOPAC MA RKETING SDN BYHD,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL
00d0242626168,00p0266521309,4.0,2018-1-17,ADVANCO COMPANY,"NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPPUR"
00d0842605090,00p0361820655,5.90,2017-9-28,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0552638268,00p0884622202,31.45,2018-7-1,PPULAR BOOK CO. (M)SDN BHD,"NO 8, JAIAN 7/118B, DESA TUN RAZAK 56000 KUAALA LUMPUR, MALAYSIA KL FESTIVAL CITY MALL"
00d0250566763,00p0560082351,217.0,2017-2-25,BEMED (SP) SDN. BHD.,"ON.49, JALAN DINAR G U3/G, SUBANG PERDANA, 40150 SHAH ALAM, SEIANGOR D.."
00d0338548353,00p0196022268,39.60,2018-4-28,DOMINO'S PIZZA,"DOMINO'S PIZZA TAMAN UNIVERSITI 30, JLN KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR"
00d0118393124,00p0146659663,22.5,2018-2-27,URBAN IDEA SDN HBHD,"A-G-06, DATARAN GLOMAC, JJALAN SS6/5A, PUSAT BANDAR KELANA JAYA, 47301 PETALING JAYA, SELANGOR,MALAYSIA"
00d0272306272,00p0452020039,10.0,207-3-21,SNWAYU STATIONERY SHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
00d0710387537,00p0987799985,25.51,20018-11-3,KING'S CONFEGTIONERY S/B,"NO.41, JALAN SERI BINTANG 2 TAMAN SRI BINTANG, 52100 KUALALUMPUR."
00d0150882989,00p0217490225,45.35,2018-7-2,99 SPEED MAT S/B,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR"
00d0207985673,00p0478149787,17.50,2017-3-28,SANYU STATIOONERY SHOP,"NO. 31G&3G, JALAN SETIA INDAY X ,U13/X 40170 SETIA ALAM"
00d0500910371,00p0312399628,24.30,2018-3-18,YAMFRESH,"NO. 145G, JALAN RIMBUNAN RAYA 1, LAMAN RIMBUANN KEPONG, 52100 KUALA LUMPUR"
00d0921271701,00p0293364892,82.0,217-3-17,TANJONGMAS BOOKCENTRE (PJ) SDN BHD,"LOT F15, GIANT BANDAR PUTERI JALAN PUTERI 1/1, BDR PUTERI 47100 PUCHONG, SELANGOR"
00d0757215171,00p0977532734,81.80,2018-4-17,YHM AEON TEBRAU CITY,"S117, SECOND FLOOR, AEON TEBRAU CITY, 1, JALAN DESA TEBEAU, TAMAN DESA TEBRAU, 81700 JOHOR BAHRU, JOHOR."
00d0977582300,00p0556511305,2.90,2018-9-2,AEON CO. (M) BHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI VCHERAS, 5100 KUALA LUMPUR"
00d0363991072,00p0512589757,22.0,2018-4-25,IKANOHANDEL FDN BD,NO 2A JALAN COCHRANE TAMAN MALURI 5100 KUALA LUMPUR
00d0423671916,00p0678296416,22.558,2017-9-19,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALANPELA BUR 23/1, 40300 SHHAH ALAM, SELANGOR."
00d0166687964,00p0487555692,82.68,2018-1-31,SYARIKAT PRNIAGAANGIN KEE,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
00d0733466225,00p0768405500,277.0,2017-8-2,HONHWA HARWDARE TRADING,"NO 37, JALAN MANIS 7, TAMAN SEGAR, 5610 CHERAS, KUALA LUMPUR."
00d0916574976,00p0837861865,10.6,2018-3-18,NR. D.I.Y. () SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSRTIAN BALAKONG, 43300 SERI KEMBANGAN, SEELANGOR"
00d0459172796,00p0242269339,54.15,2017-5-9,GARDENIA BAKERIES (KL) SDN BHD,"IOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
00d0849221655,00p0164078827,71.90,2018-2-3,MR. D. I. Y. (M) SRDN  BHD,"LOT 18551-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0464742744,00p0315358171,12.0,2017-9-20,SAYU STA TIONERY SHOP,"NO. 31G&33G, JAALAN SETIA INDAH X ,Y13/X 40170 SETIA ALAM"
00d0845867211,00p0369823709,12.0,2017-4-5,BILLION SIX ENTERPRISE,"NO 3, JALAN TAMAN JASA 2, SECTION U6, 40510 SHAH ALAM."
00d0320901819,00p0750455858,52.80,2018-5-19,TF VALUE-MART SDN BHD,JALAN TRAS BATU 1 2870 BENTONG PAHANG DARUL MAKMUR.
00d0972867846,00p0788987435,39.90,2018-5-24,FIGHT OUNCE COFFEE CO.,"F.K06, FIRST FLOOR, TEH GARDENS MALL, MID VALLEY CITY, LINGKARAN SYED PUTRA, 59200 KUALA LUMPUR."
00d0738014969,00p0392985097,174.90,2018-3-3,THREE STOOGES,"109, SS21/1A, DAMANSAAR UTAMA"
00d0877220068,00p0580993464,233.56,2017-10-15,GARDENIA BAKERIE S (KL) SDN BHD,"LOT 3, JALAN EPLABUR 23/1, 40300 SHANH ALAM, SELANGOR."
00d0485748096,00p0348382420,552.80,2016-3-2,9 SPEEO MART S/B,"LOT P.T. 3198, BATU 4 JALAN KAPAR, MUKIM KAPAR 42100 KLANG, SELANGOR 1320-TMN BATU"
00d0768446621,00p0310542528,14.65,2018-6-2,POPULAR BOOK CO. (M) SDN BHD,"NO 8, JALAN 7/118B, DESA TAN RAZAH 56000 KUALA LUMPUR, MALAYSIA KSL CITY"
00d0837787542,00p0372891796,73.0,2017-12-20,LIGHTROOM GALLERY SDN BHD,"NO:28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA"
00d0965540723,00p0510406308,48.10,2018-4-25,MR. D.I.Y. (M) DSN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BAALAKONG, 432300 SERI KEMBANGAN, SDLANGOR"
00d0880901672,00p0741339461,9.90,2018-4-19,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,812 00 JOHOR BAHRU,JOHOR"
00d0201738305,00p0223261047,8.500,20118-10-3,GERBANG ALAF RESTAURANTS SDN HD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3,JALAN SS21/39, 47400 PETALING JAYA SELANGOR"
00d0194569644,00p0869155195,533.20,2018-4-28,MR. D.I.Y. (M)SDN BHD,"LOT 1851-A & 1851-BB, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0328806229,00p0239831584,9.8,2018-12-25,BOK TA .K (TAMAN DAYA) SDN BJD,"NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR."
00d0859698635,00p0210779093,53.14,2017-8-30,GARDENIA BAKERIES (KI) SDN BHD,"LOT 3, JALAN PELABUR 3/2, 40300 SHAH ALAM, SE LANGOR."
00d0577470816,00p0465301215,6.20,2018-4-2,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRRU,JOHOR"
00d0784934925,00p0995961862,3.0,2018-1-14,SUN VICTORY SDN BHD,"LEVEL G2, BLOCK D1, SOLARIS DUTAMAS, NO.1, JALAN DUTAMAS1, 50480 KUALA LUMPUR"
00d0954032591,00p0747432839,7.10,2018-3-29,UNIHAKKA INTERNATKIONAL SDN BHD,"12 JALAN TAMPOI 7/4,KAWASAN PERINDSUTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
00d0594663786,00p0436356277,89.0,2016-1-5,BEST DDNKI MALAYSIA,"LOT LG26, SUABNG PARADE NO.5, JALAN SS216/1 47500 SUBANG JAYA, SELANGOR"
00d0542888628,00p0332131473,13.60,2016-1-24,99 PSEED MART S/B,"LOT P.T. 33198, BATU 4 JALAN KAPAR, MUKIM KAPAR 42100 KLANG, SELANGOR 1181-TMN SRI SINAR"
00d0308106888,00p0484590369,6.40,2018-4-20,PASRAYAJALAL SDN BHD,"10-18,JLN KEBUD AYAAN 16,TMN Y 81300 JOHOR BAHRU."
00d0980207211,00p0382221059,14.90,2017-5-9,SANYU STATIONERY SHOP,"NO. 31G&33G, JALAN SETA INDAH X ,U13/X 40170 SETIA ALAM"
00d0166829801,00p0670113358,59.50,2018-6-23,SYL ROASTED DELIGHTS SDN. BHD.,"75. JALAN SS 22/19, DAMANSARA JAYA, 5740 PJ"
00d0543055869,00p0565341771,71.0,2018-1-5,MR . DAKGALBI SOLARIS,"NO.J-G-02, SOHO KI, SOLARIS MONT KIERA, 50480 KL"
00d0347606159,00p0992885986,23.25,2017-20-29,BANH MI CAFE SDN BHD,"NO,1 JALAN PUTERI 7/10BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA"
00d0100894168,00p0694047688,476.80,2018-11-5,EAON CO. (JM) BHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJWKA, TAMAN MALURI CHERAS, 55100 KUUALA LUMPUR"
00d0292723088,00p0239181579,79.35,2018-2-3,FARMASI MALURIS/B,"23, JIN BURUNG JENTAYU, TMN BUKIT NALURI, KEPONG, 52100 KL."
00d0793133421,00p0575017086,142.49,2017-4-12,WAHIN HARDWARE SDNBHD,"425, JALAN PAHANG, SETAPAAK, 5300 OKAULA LUMPUR."
00d0661661607,00p0820949442,48.4,2017-9-28,GARDENIA BAKEIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0206117546,00p0950881357,1.30,29018-8-10,UNIHKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
00d0904732199,00p0629802343,129.30,2018-3-27,ANNNDO'S CHICKENLAND MALAYSIA SDN HD,"UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUAAIA LUPUR"
00d0682202857,00p0834715014,5.30,2018-12-2,SYARIKAT PERNIAGAAN GIN KEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
00d0914854329,00p0670238386,8.20,2017-3-14,UNIHAKKA INTERNATIIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PEERIHNDUSTRIAN TAMPOI,81200 OHOR BAHRU,JOHOR"
00d0174270341,00p0380024960,70.0,2018-5-21,GERBANG ALAF RESTAURANTS SDN BHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOW N3 NO.3, JALAN SS21/39,47400 EPTALING JAYA SELANGOR"
00d0698784211,00p0121115746,8.70,2017-10-27,SANYU STATIONERY XSHOP,"NO. 31G&3G, JALAN SETTIA INDAH X ,U13/X 40170 STEIA ALM"
00d0574862056,00p0648536695,60.60,2018-3-26,DOMMAL FOOD S ERVICES SDN HD,"D-08, M AVENUE , JLN 1/ 38A SEGAMBUT BAHAGIA 5120 0 KUALA LUMPUR"
00d0722335566,00p0473786081,35.1,2017-10-25,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0372099873,00p0774084098,30.10,2108-1-24,POPUL AR BOOK CO. (M) S0N BHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 560000 KUALA LUMPUR,MALAYSIA"
00d0696518680,00p0172394661,7.0,2018-3-2,LIJM SENG THO HARDWARE TRADING," NO 7. SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA"
00d0282138675,00p0530231889,27.10,2017-7-24,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH A LAM, SELANGOR."
00d0581923422,00p0669418891,21.80,2018-4-14,DE MAXIMUM THAI EXPRES SDNN BHD,"BLK 2, UNIT G1 & G2, BESTARI TERRACE, LT PTD 182908 & PTD 143216, JALAN DANGA, TAMAN NU8A BESTARI, 81300"
00d0188523936,00p0898638880,27.75,2017-10-5,99 SPEED MART S/B,"LOT P.T. 2811, JLAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1422-TMN DESA JAYA"
00d0147095939,00p0475694256,734.40,2017-10-13,DIGI TELECOMMUINCATIONS SDN BHD,"LOT LG 315, 1-UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA-BANDAR UTAMA, PETALING JAYA, 47800 SELANGOR"
00d0209546609,00p0294543973,22.60,2017-10-5,PERNIAGAAN RIANG RIWA," NL7,JNUERO,SHAH ALAM."
00d0124895452,00p0478327876,26.82,2018-3-20,HABPY SNACKS ENT ERPRISE,"19 & 19A, JALAN MERANTI 2A, SEKSYEI B ANDAR BARU BATANG KALI, 44300"
00d0843646516,00p0658019336,600.74,2017-9-10,GARDENIA BAKERIES (KL) SDN  BHD,"LOT 3, UAPLAN PELABUR 233/1, 40300 SHAH ALAM, SELANGOR."
00d0826414442,00p0194072860,7.40,22017-10-2,B & BEST RESTAURNAT,"NO.12,JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN"
00d0942116852,00p0411160730,35.80,2018-1-14,THE STORE (MALAYSIA) SDN BHD,"LOT 348817 JALAN BATU AMBAR TAMAN KOK LIAN 51200 KUALA LUMPUR,"
00d0417300467,00p0377402371,6.35,2018-52-3,YONGCEN ENTERPRIE,"9, AJLAN SUBANG JASA 3, 40150 SHAN ALAM, SELANGOR."
00d0803190070,00p0247334622,3.10,2017-4-18,SANYU STATIONERY SHOP,"NO. 31G&33G, JALAN SETIA INRDAH X ,U13/X 40170 SETIA ALAM"
00d0610473999,00p0861679683,27.55,2018-1-17,TEO HENG STATIONERY & BOOKS,"NO.53, JALAN BESAR, 45600 BAATNG BERJUNTAISELANGKOR DARUL EHSAN"
00d0106280922,00p0656050609,32.10,2018-1-15,TRENDYMAX(M) SDM. BHD.,"P6, BLOOCK C, GM KLANG WHOLESALE CITY, JALAN KASUARINA 1, 4120 KLANG, SELANGOR D.E."
00d0243521534,00p0886634980,5.30,2018-3-19,RESOTRANIBRAHIM MAJU ASB,"NO.2, GROUND FLOR, JALAN REKO SENTRAL 8 TAMAN REKO SENTRAL, 43000 KAJANG SELANGOR DE"
00d0675832982,00p0131209456,1202.0,2018-3-20,GL HANDIVCRA7T & TAIL ORING,"19, JLAAN KANCIL, OFF JALAN UDU, 55100 KUALA LUMPUR MALAYSIA"
00d0272031259,00p0179333014,8.20,2018-5-15,UNIHAKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAAN TAMPOI,81200 JOGOR BAHRU,JOHOR"
